id,company_id,review_title,review_rating,review_date
208,1948,Competitive salary,3.7,2023-04-01 14:08:53
209,337,Toxic workplace,3.3,2025-04-12 14:08:53
210,1032,Toxic workplace,1.7,2024-01-22 14:08:53
211,1313,Amazing company culture,4.5,2025-06-24 14:08:53
212,1375,Fast-paced environment,1.3,2025-01-27 14:08:53
213,71,Innovative environment,2.8,2025-06-21 14:08:53
214,1591,Flexible working hours,3.1,2025-03-03 14:08:53
215,986,Competitive salary,4.0,2023-02-28 14:08:53
216,1265,High stress environment,1.4,2024-02-02 14:08:53
217,1109,Amazing company culture,2.6,2022-12-11 14:08:53
218,1894,Learning opportunities,2.8,2023-01-23 14:08:53
219,202,Competitive salary,1.5,2024-11-20 14:08:53
220,1521,Amazing colleagues,4.5,2024-11-02 14:08:53
221,1344,Strong leadership,3.0,2022-12-05 14:08:53
222,1624,Flexible working hours,2.1,2025-10-13 14:08:53
223,1423,Flexible working hours,3.3,2025-04-12 14:08:53
224,678,Remote-friendly,2.2,2023-06-27 14:08:53
225,1847,Competitive salary,1.2,2023-04-02 14:08:53
226,1152,Learning opportunities,2.6,2025-10-13 14:08:53
227,1125,Strong leadership,3.7,2023-12-21 14:08:53
228,1014,Good work-life balance,2.9,2025-06-09 14:08:53
229,576,Remote-friendly,1.4,2025-09-15 14:08:53
230,290,Excellent benefits,2.5,2023-07-17 14:08:53
231,621,Learning opportunities,1.7,2023-12-19 14:08:53
232,915,Great place to work,2.5,2024-04-07 14:08:53
233,384,Remote-friendly,3.5,2023-01-08 14:08:53
234,694,Amazing colleagues,4.5,2023-10-20 14:08:53
235,1817,High stress environment,1.9,2025-03-05 14:08:53
236,669,Flexible working hours,1.0,2023-06-30 14:08:53
237,1449,Poor management,3.0,2022-11-16 14:08:53
238,817,Toxic workplace,2.3,2024-09-11 14:08:53
239,1605,Great place to work,3.6,2024-10-20 14:08:53
240,503,Great place to work,1.3,2025-03-05 14:08:53
241,1334,Flexible working hours,2.6,2025-07-22 14:08:53
242,1264,Challenging projects,4.7,2023-03-17 14:08:53
243,6,Remote-friendly,3.7,2024-09-20 14:08:53
244,196,Challenging projects,2.5,2025-11-12 14:08:53
245,1230,Great place to work,4.1,2023-12-17 14:08:53
246,210,Amazing colleagues,4.7,2025-11-07 14:08:53
247,867,Poor management,3.6,2025-06-09 14:08:53
248,347,Good work-life balance,2.2,2024-09-04 14:08:53
249,1671,Supportive team,2.7,2023-06-29 14:08:53
250,1471,Challenging projects,1.3,2025-08-26 14:08:53
251,841,Poor management,3.9,2023-09-16 14:08:53
252,1178,Amazing colleagues,4.9,2025-07-17 14:08:53
253,682,Poor management,4.6,2024-12-02 14:08:53
254,751,Limited growth,4.1,2024-11-25 14:08:53
255,1788,Competitive salary,4.7,2024-03-19 14:08:53
256,986,Strong leadership,4.7,2023-12-20 14:08:53
257,1198,Strong leadership,1.3,2024-06-04 14:08:53
258,121,High stress environment,1.2,2024-10-08 14:08:53
259,465,Remote-friendly,2.2,2024-08-08 14:08:53
260,998,Career growth opportunities,4.0,2023-06-26 14:08:53
261,969,Learning opportunities,4.7,2023-01-23 14:08:53
262,1731,Poor management,3.0,2023-02-25 14:08:53
263,281,Strong leadership,2.0,2023-09-17 14:08:53
264,527,Career growth opportunities,3.7,2024-09-13 14:08:53
265,716,Challenging projects,1.3,2024-05-07 14:08:53
266,359,Good work-life balance,2.6,2025-09-24 14:08:53
267,472,Good work-life balance,4.2,2023-07-04 14:08:53
268,920,Good work-life balance,4.3,2024-08-14 14:08:53
269,513,Amazing colleagues,4.8,2023-10-10 14:08:53
270,381,Competitive salary,4.8,2023-03-16 14:08:53
271,4,Innovative environment,3.5,2025-05-22 14:08:53
272,1498,Career growth opportunities,4.5,2024-01-31 14:08:53
273,931,Good work-life balance,2.4,2024-08-04 14:08:53
274,768,Limited growth,1.1,2024-09-29 14:08:53
275,1591,Flexible working hours,1.5,2025-01-30 14:08:53
276,1346,Amazing company culture,1.3,2024-10-17 14:08:53
277,1056,Remote-friendly,3.3,2025-02-09 14:08:53
278,218,Challenging projects,4.3,2024-09-10 14:08:53
279,672,Poor management,1.2,2025-04-12 14:08:53
280,99,Career growth opportunities,1.6,2023-10-16 14:08:53
281,877,Flexible working hours,3.8,2024-05-24 14:08:53
282,104,Amazing company culture,2.2,2023-05-02 14:08:53
283,580,Remote-friendly,2.0,2025-01-29 14:08:53
284,1683,Amazing colleagues,2.5,2025-10-17 14:08:53
285,1442,Excellent benefits,2.2,2023-06-08 14:08:53
286,1428,Amazing colleagues,4.3,2024-10-22 14:08:53
287,729,Excellent benefits,3.7,2025-04-12 14:08:53
288,1325,Good work-life balance,3.6,2025-02-01 14:08:53
289,909,Excellent benefits,3.4,2024-04-17 14:08:53
290,640,Challenging projects,4.8,2024-03-19 14:08:53
291,143,Learning opportunities,2.2,2024-06-06 14:08:53
292,614,Learning opportunities,1.3,2023-12-04 14:08:53
293,1395,Limited growth,2.5,2024-12-07 14:08:53
294,1012,Good work-life balance,3.1,2024-06-21 14:08:53
295,11,Toxic workplace,2.2,2022-12-01 14:08:53
296,1220,Flexible working hours,1.9,2024-02-18 14:08:53
297,1819,Excellent benefits,2.0,2023-05-27 14:08:53
298,1431,High stress environment,4.5,2023-02-10 14:08:53
299,1122,Career growth opportunities,3.3,2024-06-28 14:08:53
300,1983,Amazing colleagues,2.2,2025-03-22 14:08:53
301,1084,Supportive team,2.2,2023-05-21 14:08:53
302,990,Toxic workplace,2.0,2024-07-29 14:08:53
303,1519,Supportive team,4.5,2025-05-28 14:08:53
304,1619,Amazing colleagues,2.4,2024-10-27 14:08:53
305,154,Supportive team,4.8,2023-10-29 14:08:53
306,1066,Remote-friendly,4.8,2023-07-07 14:08:53
307,605,Amazing company culture,1.3,2024-08-04 14:08:53
308,1284,Amazing company culture,2.6,2024-02-11 14:08:53
309,1958,Fast-paced environment,4.9,2024-09-19 14:08:53
310,693,Amazing company culture,3.1,2025-08-27 14:08:53
311,808,Good work-life balance,1.1,2024-08-13 14:08:53
312,1395,Great place to work,1.9,2023-07-10 14:08:53
313,658,Excellent benefits,4.5,2023-06-06 14:08:53
314,1397,Amazing company culture,2.2,2023-02-22 14:08:53
315,1884,Amazing company culture,1.6,2023-01-29 14:08:53
316,957,Amazing colleagues,4.3,2023-09-19 14:08:53
317,1521,Innovative environment,1.2,2025-04-07 14:08:53
318,839,Excellent benefits,4.4,2024-11-27 14:08:53
319,1884,Competitive salary,3.3,2024-05-17 14:08:53
320,454,Excellent benefits,3.7,2025-08-07 14:08:53
321,1768,Remote-friendly,1.2,2024-01-10 14:08:53
322,636,Career growth opportunities,3.4,2024-11-17 14:08:53
323,1139,Fast-paced environment,2.8,2023-10-27 14:08:53
324,1135,Excellent benefits,1.2,2024-03-28 14:08:53
325,380,Innovative environment,3.8,2025-10-30 14:08:53
326,37,Fast-paced environment,1.2,2025-01-03 14:08:53
327,258,Limited growth,3.4,2023-06-26 14:08:53
328,1705,Amazing company culture,4.1,2025-10-27 14:08:53
329,1414,Amazing company culture,3.7,2022-11-21 14:08:53
330,1046,Supportive team,4.2,2025-01-11 14:08:53
331,164,Good work-life balance,3.7,2024-04-25 14:08:53
332,362,Good work-life balance,2.9,2025-03-02 14:08:53
333,801,Poor management,1.2,2025-03-22 14:08:53
334,294,Good work-life balance,3.2,2025-03-20 14:08:53
335,459,Poor management,5.0,2024-05-06 14:08:53
336,1653,Excellent benefits,1.2,2023-11-20 14:08:53
337,1970,Strong leadership,1.7,2025-07-26 14:08:53
338,1282,Competitive salary,3.6,2025-10-09 14:08:53
339,126,Strong leadership,1.1,2024-05-24 14:08:53
340,1824,Challenging projects,1.4,2023-01-25 14:08:53
341,856,Limited growth,2.6,2023-09-02 14:08:53
342,1657,Career growth opportunities,2.5,2024-04-12 14:08:53
343,1249,High stress environment,4.0,2025-03-08 14:08:53
344,519,Supportive team,2.8,2023-04-01 14:08:53
345,120,Amazing colleagues,1.2,2024-02-01 14:08:53
346,1997,Limited growth,2.3,2023-05-24 14:08:53
347,1924,Good work-life balance,2.8,2025-03-18 14:08:53
348,96,Strong leadership,2.7,2023-09-28 14:08:53
349,278,Amazing colleagues,2.4,2023-06-30 14:08:53
350,1097,Career growth opportunities,4.4,2024-06-12 14:08:53
351,563,Toxic workplace,1.7,2023-04-18 14:08:53
352,676,Challenging projects,2.9,2025-03-06 14:08:53
353,958,Poor management,4.8,2024-12-14 14:08:53
354,924,Strong leadership,4.8,2024-02-01 14:08:53
355,34,Challenging projects,2.2,2024-07-26 14:08:53
356,1194,Fast-paced environment,3.5,2024-10-05 14:08:53
357,274,Supportive team,4.6,2024-01-24 14:08:53
358,465,Innovative environment,2.7,2024-10-01 14:08:53
359,988,Amazing company culture,1.8,2022-12-04 14:08:53
360,1061,High stress environment,1.3,2023-07-10 14:08:53
361,956,Strong leadership,4.8,2024-10-27 14:08:53
362,108,Innovative environment,2.1,2024-12-12 14:08:53
363,1776,Amazing colleagues,3.6,2025-06-25 14:08:53
364,1854,Learning opportunities,2.2,2023-10-25 14:08:53
365,584,Good work-life balance,1.3,2025-05-07 14:08:53
366,610,Limited growth,3.5,2025-01-26 14:08:53
367,24,Excellent benefits,3.9,2022-12-10 14:08:53
368,1530,Excellent benefits,3.8,2023-03-24 14:08:53
369,1222,Excellent benefits,4.9,2025-04-30 14:08:53
370,1636,Toxic workplace,1.0,2025-11-12 14:08:53
371,1273,Underpaid position,2.7,2024-11-17 14:08:53
372,951,Good work-life balance,1.8,2024-02-03 14:08:53
373,58,Strong leadership,4.3,2023-12-21 14:08:53
374,1864,Poor management,1.1,2024-04-21 14:08:53
375,1133,Limited growth,3.3,2023-05-05 14:08:53
376,1676,Flexible working hours,1.7,2024-10-02 14:08:53
377,1148,Amazing company culture,3.1,2023-04-20 14:08:53
378,1346,Flexible working hours,2.1,2025-06-05 14:08:53
379,97,Challenging projects,4.1,2023-12-27 14:08:53
380,1056,Career growth opportunities,3.8,2025-01-11 14:08:53
381,1897,Great place to work,3.7,2025-10-08 14:08:53
382,554,Flexible working hours,1.3,2023-12-02 14:08:53
383,1558,Learning opportunities,2.8,2025-09-13 14:08:53
384,142,Supportive team,3.3,2025-10-09 14:08:53
385,1881,Limited growth,3.7,2024-07-31 14:08:53
386,1695,Career growth opportunities,1.8,2025-09-23 14:08:53
387,891,Flexible working hours,2.1,2023-12-19 14:08:53
388,1017,High stress environment,4.0,2025-05-20 14:08:53
389,536,Poor management,4.5,2023-11-11 14:08:53
390,60,Poor management,1.5,2022-12-21 14:08:53
391,130,Flexible working hours,2.0,2024-03-11 14:08:53
392,121,Competitive salary,4.9,2023-01-25 14:08:53
393,1034,Competitive salary,4.9,2025-05-18 14:08:53
394,1291,Innovative environment,2.6,2023-12-12 14:08:53
395,316,Challenging projects,3.5,2024-08-31 14:08:53
396,473,Innovative environment,4.6,2023-09-28 14:08:53
397,1817,Remote-friendly,5.0,2023-09-22 14:08:53
398,1379,Innovative environment,2.9,2025-03-09 14:08:53
399,1029,Competitive salary,2.4,2023-12-25 14:08:53
400,1369,Innovative environment,2.6,2023-10-01 14:08:53
401,1662,Flexible working hours,4.2,2024-01-11 14:08:53
402,762,Learning opportunities,4.4,2023-05-12 14:08:53
403,1573,Career growth opportunities,3.4,2024-12-04 14:08:53
404,1561,Remote-friendly,4.1,2023-10-22 14:08:53
405,653,Poor management,2.3,2023-03-01 14:08:53
406,1688,Competitive salary,1.4,2024-11-18 14:08:53
407,1766,Learning opportunities,4.4,2025-10-22 14:08:53
408,278,Poor management,2.7,2025-03-03 14:08:53
409,1320,Innovative environment,3.0,2023-01-28 14:08:53
410,670,Competitive salary,3.2,2025-07-05 14:08:53
411,321,Good work-life balance,1.0,2023-03-16 14:08:53
412,1678,Poor management,4.4,2023-09-19 14:08:53
413,689,Flexible working hours,2.7,2024-08-05 14:08:53
414,1555,Underpaid position,2.4,2022-12-20 14:08:53
415,1037,Excellent benefits,3.7,2025-05-12 14:08:53
416,1534,Strong leadership,4.7,2023-12-28 14:08:53
417,1862,Limited growth,4.1,2023-12-19 14:08:53
418,485,Fast-paced environment,3.0,2025-02-04 14:08:53
419,919,Toxic workplace,2.8,2024-05-16 14:08:53
420,595,Supportive team,2.8,2024-08-14 14:08:53
421,1123,Excellent benefits,4.7,2023-06-29 14:08:53
422,1583,Limited growth,4.2,2023-05-30 14:08:53
423,799,Amazing company culture,2.3,2023-03-10 14:08:53
424,1313,Strong leadership,4.0,2023-08-18 14:08:53
425,1882,Innovative environment,4.9,2024-07-06 14:08:53
426,19,Good work-life balance,3.0,2025-05-25 14:08:53
427,1196,Remote-friendly,4.3,2023-10-22 14:08:53
428,1354,Excellent benefits,1.2,2024-04-24 14:08:53
429,1591,Learning opportunities,3.5,2024-12-12 14:08:53
430,1883,Poor management,2.0,2022-12-17 14:08:53
431,424,Remote-friendly,4.4,2023-12-12 14:08:53
432,473,Great place to work,4.5,2023-12-10 14:08:53
433,455,Flexible working hours,1.2,2024-10-15 14:08:53
434,169,Remote-friendly,2.1,2024-01-12 14:08:53
435,506,Limited growth,4.5,2023-09-16 14:08:53
436,758,Excellent benefits,2.3,2024-11-26 14:08:53
437,1588,Amazing colleagues,4.8,2024-05-22 14:08:53
438,1052,Career growth opportunities,3.2,2023-12-09 14:08:53
439,754,Competitive salary,4.3,2024-04-26 14:08:53
440,131,Supportive team,1.3,2023-03-17 14:08:53
441,311,Supportive team,3.5,2023-08-11 14:08:53
442,573,Strong leadership,1.9,2023-12-10 14:08:53
443,1943,Good work-life balance,4.2,2023-12-05 14:08:53
444,1970,Toxic workplace,1.1,2025-01-10 14:08:53
445,727,Strong leadership,3.5,2024-06-28 14:08:53
446,1076,Competitive salary,3.8,2025-08-11 14:08:53
447,1684,Career growth opportunities,4.6,2025-08-13 14:08:53
448,1666,Learning opportunities,3.1,2025-05-31 14:08:53
449,250,Limited growth,4.3,2025-02-25 14:08:53
450,1427,Innovative environment,3.7,2023-05-27 14:08:53
451,1702,Challenging projects,1.2,2025-01-28 14:08:53
452,593,Excellent benefits,1.5,2023-03-26 14:08:53
453,458,Career growth opportunities,2.8,2023-01-14 14:08:53
454,1670,Flexible working hours,4.3,2023-06-24 14:08:53
455,846,High stress environment,1.2,2022-12-20 14:08:53
456,948,Excellent benefits,3.7,2023-07-16 14:08:53
457,1712,Strong leadership,1.1,2023-09-26 14:08:53
458,241,Underpaid position,4.4,2023-05-06 14:08:53
459,732,Excellent benefits,3.8,2023-03-18 14:08:53
460,1780,Learning opportunities,1.8,2024-11-02 14:08:53
461,262,Toxic workplace,2.9,2023-08-22 14:08:53
462,405,Innovative environment,2.1,2023-01-16 14:08:53
463,706,Amazing company culture,4.1,2025-07-07 14:08:53
464,815,Strong leadership,4.1,2023-06-25 14:08:53
465,1756,Amazing company culture,1.8,2025-02-13 14:08:53
466,924,Good work-life balance,2.5,2023-10-18 14:08:53
467,1247,Innovative environment,1.1,2024-02-21 14:08:53
468,479,Challenging projects,4.0,2025-05-09 14:08:53
469,260,Good work-life balance,1.9,2025-06-25 14:08:53
470,909,Amazing colleagues,1.4,2025-09-05 14:08:53
471,200,Excellent benefits,1.2,2024-09-29 14:08:53
472,1345,Underpaid position,2.1,2024-01-14 14:08:53
473,145,Challenging projects,1.1,2023-08-02 14:08:53
474,196,Toxic workplace,3.8,2025-02-05 14:08:53
475,121,Flexible working hours,2.6,2023-09-25 14:08:53
476,308,Competitive salary,4.2,2023-04-07 14:08:53
477,865,Fast-paced environment,4.7,2024-12-15 14:08:53
478,1483,Career growth opportunities,3.0,2023-08-14 14:08:53
479,980,Good work-life balance,3.7,2023-10-26 14:08:53
480,546,Good work-life balance,4.7,2023-03-11 14:08:53
481,43,Innovative environment,2.9,2024-11-28 14:08:53
482,879,Excellent benefits,4.2,2024-10-31 14:08:53
483,1299,Fast-paced environment,2.7,2025-04-21 14:08:53
