id,job_title,company_id,location_id,employment_type_id,salary_range_id,job_description,listing_date
92,Cybersecurity Specialist,397,2,1,1,Job description for Cybersecurity Specialist position at company 397,2025-06-25 14:08:53
93,UX Designer,1511,869,2,20,Job description for UX Designer position at company 1511,2025-03-14 14:08:53
94,Network Engineer,94,342,3,18,Job description for Network Engineer position at company 94,2024-01-24 14:08:53
95,Software Engineer,1312,207,3,9,Job description for Software Engineer position at company 1312,2023-04-03 14:08:53
96,QA Engineer,615,519,5,11,Job description for QA Engineer position at company 615,2022-11-28 14:08:53
97,UX Designer,1405,342,3,13,Job description for UX Designer position at company 1405,2023-01-14 14:08:53
98,Customer Success Manager,398,339,3,16,Job description for Customer Success Manager position at company 398,2025-07-14 14:08:53
99,Product Manager,1323,140,4,5,Job description for Product Manager position at company 1323,2025-06-16 14:08:53
100,Scrum Master,948,803,4,2,Job description for Scrum Master position at company 948,2025-10-18 14:08:53
101,QA Engineer,1158,743,3,18,Job description for QA Engineer position at company 1158,2022-12-24 14:08:53
102,Backend Developer,1183,702,3,12,Job description for Backend Developer position at company 1183,2023-03-31 14:08:53
103,HR Manager,575,861,1,11,Job description for HR Manager position at company 575,2024-12-23 14:08:53
104,Operations Manager,1170,621,4,6,Job description for Operations Manager position at company 1170,2023-07-13 14:08:53
105,QA Engineer,1445,879,3,2,Job description for QA Engineer position at company 1445,2024-05-25 14:08:53
106,Network Engineer,178,509,2,12,Job description for Network Engineer position at company 178,2025-05-29 14:08:53
107,QA Engineer,443,538,3,6,Job description for QA Engineer position at company 443,2023-07-03 14:08:53
108,Solution Architect,1608,39,2,3,Job description for Solution Architect position at company 1608,2025-05-12 14:08:53
109,Data Scientist,1637,495,5,5,Job description for Data Scientist position at company 1637,2023-12-10 14:08:53
110,Scrum Master,1892,496,5,10,Job description for Scrum Master position at company 1892,2024-09-16 14:08:53
111,HR Manager,1576,893,1,17,Job description for HR Manager position at company 1576,2023-08-14 14:08:53
112,Backend Developer,1484,38,4,13,Job description for Backend Developer position at company 1484,2025-10-20 14:08:53
113,UX Designer,9,319,1,20,Job description for UX Designer position at company 9,2023-05-13 14:08:53
114,Scrum Master,957,911,1,4,Job description for Scrum Master position at company 957,2025-10-17 14:08:53
115,QA Engineer,47,592,3,7,Job description for QA Engineer position at company 47,2024-09-03 14:08:53
116,Frontend Developer,395,294,3,18,Job description for Frontend Developer position at company 395,2024-08-30 14:08:53
117,Web Developer,1375,121,3,5,Job description for Web Developer position at company 1375,2023-10-04 14:08:53
118,Cloud Architect,235,16,5,18,Job description for Cloud Architect position at company 235,2025-10-03 14:08:53
119,DevOps Engineer,424,556,3,18,Job description for DevOps Engineer position at company 424,2024-08-29 14:08:53
120,Cloud Architect,290,966,3,19,Job description for Cloud Architect position at company 290,2024-03-31 14:08:53
121,Operations Manager,146,319,5,11,Job description for Operations Manager position at company 146,2025-05-12 14:08:53
122,Sales Representative,267,30,4,2,Job description for Sales Representative position at company 267,2023-06-20 14:08:53
123,Database Administrator,111,89,4,13,Job description for Database Administrator position at company 111,2023-11-17 14:08:53
124,Web Developer,1263,365,3,11,Job description for Web Developer position at company 1263,2023-12-26 14:08:53
125,Business Analyst,1995,945,4,19,Job description for Business Analyst position at company 1995,2023-08-12 14:08:53
126,Business Analyst,1665,822,4,4,Job description for Business Analyst position at company 1665,2025-06-06 14:08:53
127,QA Engineer,1402,660,4,16,Job description for QA Engineer position at company 1402,2024-03-04 14:08:53
128,Full Stack Developer,295,882,5,9,Job description for Full Stack Developer position at company 295,2024-11-29 14:08:53
129,System Administrator,376,717,3,11,Job description for System Administrator position at company 376,2025-06-01 14:08:53
130,Research Scientist,62,67,4,4,Job description for Research Scientist position at company 62,2024-11-04 14:08:53
131,AI Engineer,945,867,2,10,Job description for AI Engineer position at company 945,2024-10-29 14:08:53
132,Financial Analyst,1041,106,4,4,Job description for Financial Analyst position at company 1041,2024-09-13 14:08:53
133,Marketing Manager,1623,310,5,15,Job description for Marketing Manager position at company 1623,2025-02-13 14:08:53
134,Network Engineer,489,636,2,18,Job description for Network Engineer position at company 489,2023-10-07 14:08:53
135,AI Engineer,787,68,3,7,Job description for AI Engineer position at company 787,2025-04-16 14:08:53
136,Mobile Developer,1162,807,3,18,Job description for Mobile Developer position at company 1162,2024-03-13 14:08:53
137,Customer Success Manager,1358,686,1,19,Job description for Customer Success Manager position at company 1358,2025-08-08 14:08:53
138,UX Designer,1213,611,4,11,Job description for UX Designer position at company 1213,2023-06-03 14:08:53
139,Web Developer,361,316,4,3,Job description for Web Developer position at company 361,2023-06-26 14:08:53
140,Database Administrator,671,507,1,3,Job description for Database Administrator position at company 671,2024-02-04 14:08:53
141,Financial Analyst,1818,595,1,5,Job description for Financial Analyst position at company 1818,2023-09-17 14:08:53
142,Web Developer,1089,299,4,20,Job description for Web Developer position at company 1089,2025-05-19 14:08:53
143,Frontend Developer,422,698,3,10,Job description for Frontend Developer position at company 422,2024-07-31 14:08:53
144,Mobile Developer,1471,938,3,3,Job description for Mobile Developer position at company 1471,2022-12-02 14:08:53
145,System Administrator,1736,131,3,2,Job description for System Administrator position at company 1736,2024-12-11 14:08:53
146,Sales Representative,2,721,5,12,Job description for Sales Representative position at company 2,2023-06-28 14:08:53
147,Cybersecurity Specialist,1773,32,2,14,Job description for Cybersecurity Specialist position at company 1773,2025-01-31 14:08:53
148,Project Manager,1458,392,4,13,Job description for Project Manager position at company 1458,2025-04-25 14:08:53
149,Backend Developer,1357,178,4,5,Job description for Backend Developer position at company 1357,2023-12-06 14:08:53
150,Database Administrator,1728,947,3,14,Job description for Database Administrator position at company 1728,2023-09-27 14:08:53
151,Cybersecurity Specialist,1788,687,2,5,Job description for Cybersecurity Specialist position at company 1788,2022-12-09 14:08:53
152,Marketing Manager,1328,17,2,16,Job description for Marketing Manager position at company 1328,2025-04-28 14:08:53
153,Financial Analyst,174,141,4,15,Job description for Financial Analyst position at company 174,2025-04-05 14:08:53
154,Customer Success Manager,931,522,4,18,Job description for Customer Success Manager position at company 931,2025-05-25 14:08:53
155,Database Administrator,728,232,2,14,Job description for Database Administrator position at company 728,2022-12-01 14:08:53
156,Research Scientist,1735,749,2,17,Job description for Research Scientist position at company 1735,2024-05-20 14:08:53
157,Network Engineer,1898,560,5,12,Job description for Network Engineer position at company 1898,2023-01-23 14:08:53
158,Product Manager,1164,495,3,4,Job description for Product Manager position at company 1164,2025-07-29 14:08:53
159,Business Analyst,291,748,5,9,Job description for Business Analyst position at company 291,2025-06-25 14:08:53
160,Business Analyst,1072,912,5,3,Job description for Business Analyst position at company 1072,2024-04-01 14:08:53
161,AI Engineer,1292,760,1,18,Job description for AI Engineer position at company 1292,2024-08-16 14:08:53
162,Sales Representative,1851,352,5,1,Job description for Sales Representative position at company 1851,2025-07-03 14:08:53
163,Game Developer,1050,928,4,19,Job description for Game Developer position at company 1050,2024-09-24 14:08:53
164,Network Engineer,723,984,3,10,Job description for Network Engineer position at company 723,2023-10-25 14:08:53
165,Product Manager,1424,946,5,10,Job description for Product Manager position at company 1424,2024-05-02 14:08:53
166,Sales Representative,1289,485,5,6,Job description for Sales Representative position at company 1289,2023-03-01 14:08:53
167,Cybersecurity Specialist,1657,756,5,1,Job description for Cybersecurity Specialist position at company 1657,2024-06-25 14:08:53
168,Research Scientist,169,130,5,3,Job description for Research Scientist position at company 169,2024-06-07 14:08:53
169,Machine Learning Engineer,272,631,3,9,Job description for Machine Learning Engineer position at company 272,2024-04-25 14:08:53
170,Software Engineer,1519,115,5,6,Job description for Software Engineer position at company 1519,2023-09-21 14:08:53
171,Web Developer,758,828,2,9,Job description for Web Developer position at company 758,2024-03-13 14:08:53
172,Research Scientist,371,819,5,2,Job description for Research Scientist position at company 371,2024-10-18 14:08:53
173,Business Analyst,1982,149,5,5,Job description for Business Analyst position at company 1982,2025-08-27 14:08:53
174,Network Engineer,1578,393,2,15,Job description for Network Engineer position at company 1578,2023-10-24 14:08:53
175,Backend Developer,1184,752,3,2,Job description for Backend Developer position at company 1184,2024-05-10 14:08:53
176,UX Designer,108,172,4,13,Job description for UX Designer position at company 108,2025-07-18 14:08:53
177,QA Engineer,976,765,5,8,Job description for QA Engineer position at company 976,2025-01-01 14:08:53
178,Database Administrator,972,269,2,17,Job description for Database Administrator position at company 972,2025-04-24 14:08:53
179,Software Engineer,592,950,4,13,Job description for Software Engineer position at company 592,2024-08-23 14:08:53
180,Product Manager,200,940,5,12,Job description for Product Manager position at company 200,2025-04-18 14:08:53
181,Cloud Architect,687,277,3,4,Job description for Cloud Architect position at company 687,2024-04-21 14:08:53
182,System Administrator,945,792,2,19,Job description for System Administrator position at company 945,2023-12-20 14:08:53
183,Scrum Master,1388,707,2,11,Job description for Scrum Master position at company 1388,2022-12-07 14:08:53
184,Software Engineer,1704,70,1,14,Job description for Software Engineer position at company 1704,2023-06-04 14:08:53
185,DevOps Engineer,1404,457,3,8,Job description for DevOps Engineer position at company 1404,2024-06-18 14:08:53
186,Machine Learning Engineer,396,35,1,20,Job description for Machine Learning Engineer position at company 396,2023-05-23 14:08:53
187,Sales Representative,1923,609,2,20,Job description for Sales Representative position at company 1923,2023-07-23 14:08:53
188,UX Designer,177,877,5,5,Job description for UX Designer position at company 177,2024-12-24 14:08:53
189,Customer Success Manager,1836,114,2,9,Job description for Customer Success Manager position at company 1836,2024-07-11 14:08:53
190,Game Developer,1353,959,1,15,Job description for Game Developer position at company 1353,2024-06-04 14:08:53
191,Mobile Developer,1418,926,3,9,Job description for Mobile Developer position at company 1418,2023-10-13 14:08:53
192,Marketing Manager,568,796,1,13,Job description for Marketing Manager position at company 568,2025-01-19 14:08:53
193,Scrum Master,124,265,3,6,Job description for Scrum Master position at company 124,2025-05-06 14:08:53
194,Marketing Manager,1008,951,2,20,Job description for Marketing Manager position at company 1008,2025-01-28 14:08:53
195,Customer Success Manager,1322,504,1,5,Job description for Customer Success Manager position at company 1322,2025-04-17 14:08:53
196,Backend Developer,1258,659,1,15,Job description for Backend Developer position at company 1258,2024-04-29 14:08:53
197,DevOps Engineer,72,75,1,19,Job description for DevOps Engineer position at company 72,2024-04-12 14:08:53
198,Web Developer,39,919,4,5,Job description for Web Developer position at company 39,2022-11-17 14:08:53
199,Product Manager,1362,400,3,5,Job description for Product Manager position at company 1362,2024-09-21 14:08:53
200,System Administrator,1177,4,5,16,Job description for System Administrator position at company 1177,2025-07-22 14:08:53
201,Mobile Developer,828,865,1,18,Job description for Mobile Developer position at company 828,2024-02-21 14:08:53
202,Software Engineer,788,978,4,4,Job description for Software Engineer position at company 788,2024-11-20 14:08:53
203,Scrum Master,1397,311,4,2,Job description for Scrum Master position at company 1397,2023-05-20 14:08:53
204,Solution Architect,1095,874,3,3,Job description for Solution Architect position at company 1095,2025-06-14 14:08:53
205,Cybersecurity Specialist,1327,208,2,18,Job description for Cybersecurity Specialist position at company 1327,2023-02-04 14:08:53
206,Database Administrator,1354,196,3,13,Job description for Database Administrator position at company 1354,2023-06-22 14:08:53
207,Technical Writer,997,87,4,7,Job description for Technical Writer position at company 997,2023-08-29 14:08:53
208,Product Manager,396,26,5,8,Job description for Product Manager position at company 396,2025-08-13 14:08:53
209,Database Administrator,130,812,5,10,Job description for Database Administrator position at company 130,2025-09-04 14:08:53
210,Web Developer,1980,17,1,11,Job description for Web Developer position at company 1980,2023-03-10 14:08:53
211,Scrum Master,1614,739,1,13,Job description for Scrum Master position at company 1614,2023-07-16 14:08:53
212,Backend Developer,1653,670,5,15,Job description for Backend Developer position at company 1653,2023-09-17 14:08:53
213,Full Stack Developer,1895,74,1,5,Job description for Full Stack Developer position at company 1895,2025-08-13 14:08:53
214,Data Scientist,966,929,5,2,Job description for Data Scientist position at company 966,2024-03-27 14:08:53
215,Financial Analyst,30,177,1,10,Job description for Financial Analyst position at company 30,2023-06-03 14:08:53
216,Game Developer,1252,175,5,3,Job description for Game Developer position at company 1252,2023-06-21 14:08:53
217,UX Designer,1019,610,5,8,Job description for UX Designer position at company 1019,2023-03-25 14:08:53
218,Frontend Developer,873,346,4,11,Job description for Frontend Developer position at company 873,2023-07-21 14:08:53
219,Financial Analyst,659,857,2,2,Job description for Financial Analyst position at company 659,2023-11-06 14:08:53
220,Scrum Master,130,124,3,5,Job description for Scrum Master position at company 130,2025-03-15 14:08:53
221,Operations Manager,1427,379,5,6,Job description for Operations Manager position at company 1427,2025-05-02 14:08:53
222,Data Engineer,1896,596,1,5,Job description for Data Engineer position at company 1896,2023-06-08 14:08:53
223,Database Administrator,1593,162,1,16,Job description for Database Administrator position at company 1593,2023-04-30 14:08:53
224,Software Engineer,15,184,1,19,Job description for Software Engineer position at company 15,2024-06-19 14:08:53
225,Network Engineer,1421,827,4,5,Job description for Network Engineer position at company 1421,2024-01-12 14:08:53
226,HR Manager,1311,278,5,15,Job description for HR Manager position at company 1311,2025-03-08 14:08:53
227,Data Engineer,1922,179,5,2,Job description for Data Engineer position at company 1922,2023-11-19 14:08:53
228,Research Scientist,1254,974,1,10,Job description for Research Scientist position at company 1254,2024-10-28 14:08:53
229,Network Engineer,10,572,2,7,Job description for Network Engineer position at company 10,2023-07-14 14:08:53
230,DevOps Engineer,1268,371,5,17,Job description for DevOps Engineer position at company 1268,2024-02-08 14:08:53
231,Game Developer,1578,642,2,9,Job description for Game Developer position at company 1578,2023-03-04 14:08:53
232,Frontend Developer,231,816,2,16,Job description for Frontend Developer position at company 231,2025-08-30 14:08:53
233,Customer Success Manager,328,687,1,2,Job description for Customer Success Manager position at company 328,2024-11-30 14:08:53
234,Cybersecurity Specialist,430,446,3,11,Job description for Cybersecurity Specialist position at company 430,2025-06-01 14:08:53
235,Product Manager,214,759,1,18,Job description for Product Manager position at company 214,2023-11-11 14:08:53
236,Operations Manager,1609,30,4,17,Job description for Operations Manager position at company 1609,2023-07-11 14:08:53
237,Marketing Manager,1834,241,4,19,Job description for Marketing Manager position at company 1834,2024-09-13 14:08:53
238,Network Engineer,408,766,3,8,Job description for Network Engineer position at company 408,2023-06-29 14:08:53
239,Project Manager,467,101,2,14,Job description for Project Manager position at company 467,2023-12-30 14:08:53
240,Database Administrator,1826,226,1,16,Job description for Database Administrator position at company 1826,2025-08-04 14:08:53
241,Sales Representative,1824,447,2,7,Job description for Sales Representative position at company 1824,2025-06-04 14:08:53
242,Customer Success Manager,794,383,2,15,Job description for Customer Success Manager position at company 794,2023-12-18 14:08:53
243,Technical Writer,1998,277,2,11,Job description for Technical Writer position at company 1998,2023-08-03 14:08:53
244,Product Manager,1418,583,1,9,Job description for Product Manager position at company 1418,2023-08-22 14:08:53
245,UX Designer,1745,477,4,14,Job description for UX Designer position at company 1745,2023-11-01 14:08:53
246,Scrum Master,451,908,3,20,Job description for Scrum Master position at company 451,2023-10-03 14:08:53
247,Operations Manager,1184,994,5,8,Job description for Operations Manager position at company 1184,2023-05-12 14:08:53
248,Network Engineer,1756,535,4,7,Job description for Network Engineer position at company 1756,2025-07-12 14:08:53
249,Game Developer,572,15,4,8,Job description for Game Developer position at company 572,2024-04-06 14:08:53
250,Project Manager,890,594,2,19,Job description for Project Manager position at company 890,2023-09-17 14:08:53
251,Software Engineer,856,46,1,16,Job description for Software Engineer position at company 856,2025-09-13 14:08:53
252,Product Manager,872,544,4,16,Job description for Product Manager position at company 872,2023-06-04 14:08:53
253,Web Developer,1015,247,1,18,Job description for Web Developer position at company 1015,2022-12-11 14:08:53
254,Network Engineer,1946,224,2,12,Job description for Network Engineer position at company 1946,2024-07-13 14:08:53
255,Data Engineer,1327,93,1,16,Job description for Data Engineer position at company 1327,2024-08-01 14:08:53
256,Operations Manager,1441,471,5,19,Job description for Operations Manager position at company 1441,2023-01-04 14:08:53
257,Game Developer,950,791,2,13,Job description for Game Developer position at company 950,2023-11-29 14:08:53
258,Solution Architect,1284,476,1,3,Job description for Solution Architect position at company 1284,2025-01-12 14:08:53
259,Scrum Master,1088,34,3,14,Job description for Scrum Master position at company 1088,2024-05-21 14:08:53
260,Backend Developer,1614,702,1,20,Job description for Backend Developer position at company 1614,2024-10-03 14:08:53
261,Sales Representative,1055,969,3,2,Job description for Sales Representative position at company 1055,2023-07-01 14:08:53
262,Database Administrator,749,477,5,2,Job description for Database Administrator position at company 749,2024-12-03 14:08:53
263,Solution Architect,359,664,5,3,Job description for Solution Architect position at company 359,2024-01-09 14:08:53
264,Financial Analyst,686,245,5,4,Job description for Financial Analyst position at company 686,2025-07-22 14:08:53
265,Backend Developer,1543,763,2,11,Job description for Backend Developer position at company 1543,2024-11-07 14:08:53
266,Cloud Architect,1032,697,4,9,Job description for Cloud Architect position at company 1032,2023-03-07 14:08:53
267,Marketing Manager,764,354,4,16,Job description for Marketing Manager position at company 764,2025-09-07 14:08:53
268,UX Designer,963,727,5,18,Job description for UX Designer position at company 963,2024-07-06 14:08:53
269,Web Developer,1272,377,1,7,Job description for Web Developer position at company 1272,2025-06-10 14:08:53
270,Business Analyst,165,401,2,10,Job description for Business Analyst position at company 165,2023-04-22 14:08:53
271,DevOps Engineer,338,283,1,5,Job description for DevOps Engineer position at company 338,2025-08-28 14:08:53
272,HR Manager,1792,210,5,1,Job description for HR Manager position at company 1792,2024-07-08 14:08:53
273,Network Engineer,1986,699,5,5,Job description for Network Engineer position at company 1986,2025-07-13 14:08:53
274,Technical Writer,861,455,1,10,Job description for Technical Writer position at company 861,2023-12-08 14:08:53
275,Marketing Manager,46,893,2,17,Job description for Marketing Manager position at company 46,2024-10-03 14:08:53
276,Network Engineer,1186,352,3,16,Job description for Network Engineer position at company 1186,2025-11-05 14:08:53
277,Web Developer,938,312,5,5,Job description for Web Developer position at company 938,2024-08-04 14:08:53
278,Operations Manager,1617,267,2,16,Job description for Operations Manager position at company 1617,2024-12-16 14:08:53
279,Cybersecurity Specialist,1577,866,1,5,Job description for Cybersecurity Specialist position at company 1577,2024-11-08 14:08:53
280,Cybersecurity Specialist,934,980,2,20,Job description for Cybersecurity Specialist position at company 934,2023-10-11 14:08:53
281,Cybersecurity Specialist,374,997,2,5,Job description for Cybersecurity Specialist position at company 374,2023-10-12 14:08:53
282,Data Engineer,240,43,3,19,Job description for Data Engineer position at company 240,2023-08-02 14:08:53
283,Web Developer,534,379,2,7,Job description for Web Developer position at company 534,2023-01-26 14:08:53
284,Project Manager,705,152,3,15,Job description for Project Manager position at company 705,2023-10-14 14:08:53
285,QA Engineer,249,943,1,13,Job description for QA Engineer position at company 249,2025-09-03 14:08:53
286,HR Manager,1942,470,3,5,Job description for HR Manager position at company 1942,2022-11-24 14:08:53
287,Scrum Master,1326,723,3,16,Job description for Scrum Master position at company 1326,2024-07-01 14:08:53
288,HR Manager,1638,579,4,11,Job description for HR Manager position at company 1638,2023-07-04 14:08:53
289,AI Engineer,1844,42,2,18,Job description for AI Engineer position at company 1844,2023-07-13 14:08:53
290,QA Engineer,51,412,5,8,Job description for QA Engineer position at company 51,2025-05-17 14:08:53
291,Technical Writer,190,335,1,20,Job description for Technical Writer position at company 190,2023-12-20 14:08:53
292,Full Stack Developer,1601,959,3,7,Job description for Full Stack Developer position at company 1601,2023-01-01 14:08:53
